unix_epoch_at_the_start_of_averaging_period,average_price_in_usd,symbol
1.716102e+09,3113.7608333333337,ETH
1.7160984e+09,3115.4608333333335,ETH
1.7160948e+09,3123.0108333333346,ETH
1.7160912e+09,3123.3174999999997,ETH
1.7160876e+09,3131.390000000001,ETH
1.716084e+09,3127.652499999998,ETH
1.7160804e+09,3118.375833333331,ETH
1.7160768e+09,3122.0183333333302,ETH
1.7160732e+09,3121.5075000000015,ETH
1.7160696e+09,3119.6241666666665,ETH
1.716066e+09,3118.9791666666674,ETH
1.7160624e+09,3121.282500000002,ETH
1.7160588e+09,3115.749999999999,ETH
1.7160552e+09,3114.602499999999,ETH
1.7160516e+09,3115.964999999998,ETH
1.716048e+09,3115.6141666666663,ETH
1.7160444e+09,3110.706666666667,ETH
1.7160408e+09,3110.7024999999994,ETH
1.7160372e+09,3118.6433333333316,ETH
1.7160336e+09,3131.1975000000025,ETH
1.71603e+09,3139.7450000000003,ETH
1.7160264e+09,3133.173333333332,ETH
1.7160228e+09,3119.1608333333347,ETH
1.7160192e+09,3113.9800000000005,ETH
1.7160156e+09,3104.6691666666675,ETH
1.716012e+09,3099.1066666666666,ETH
1.7160084e+09,3102.583333333333,ETH
1.7160048e+09,3109.3300000000027,ETH
1.7160012e+09,3113.955833333335,ETH
1.7159976e+09,3102.7416666666672,ETH
1.715994e+09,3096.710833333333,ETH
1.7159904e+09,3094.576666666665,ETH
1.7159868e+09,3093.745,ETH
1.7159832e+09,3093.095000000002,ETH
1.7159796e+09,3092.089166666666,ETH
1.715976e+09,3088.0966666666645,ETH
1.7159724e+09,3086.2683333333316,ETH
1.7159688e+09,3081.680833333333,ETH
1.7159652e+09,3096.5725,ETH
1.7159616e+09,3106.5666666666657,ETH
1.715958e+09,3098.0883333333322,ETH
1.7159544e+09,3077.1375000000003,ETH
1.7159508e+09,3072.640833333333,ETH
1.7159472e+09,3045.002499999999,ETH
1.7159436e+09,3033.892499999999,ETH
1.71594e+09,3032.728333333334,ETH
1.7159364e+09,3031.643333333333,ETH
1.7159328e+09,3038.7583333333314,ETH
1.7159292e+09,3005.6133333333337,ETH
1.7159256e+09,2949.3324999999995,ETH
